Player,Tm,Year,G,MP,PER,BPM,VORP
Jared Dudley,LAC,2014,7,45,4.3,-3.2,0.0
Tim Duncan*,SAS,2014,23,752,21.1,3.1,1.0
Mike Dunleavy,CHI,2014,5,163,15.5,3.9,0.2
Kevin Durant,OKC,2014,19,815,22.6,6.4,1.7
Wayne Ellington,DAL,2014,2,14,13.0,-0.1,0.0
Monta Ellis,DAL,2014,7,249,15.4,0.3,0.1
Landry Fields,TOR,2014,3,26,11.0,8.0,0.1
Derek Fisher,OKC,2014,19,299,7.9,-1.3,0.0
Jamaal Franklin,MEM,2014,2,4,-11.1,-21.3,0.0
Joel Freeland,POR,2014,9,24,-3.5,-12.3,-0.1
Francisco GarcÃ­a,HOU,2014,2,22,6.3,-4.4,0.0
Kevin Garnett*,BRK,2014,12,250,17.2,2.3,0.3
Marc Gasol,MEM,2014,7,299,14.7,2.4,0.3
Paul George,IND,2014,19,781,20.5,5.9,1.6
Taj Gibson,CHI,2014,5,154,26.5,6.4,0.3
Manu GinÃ³bili*,SAS,2014,23,586,20.3,5.3,1.1
Drew Gooden,WAS,2014,10,146,9.5,-5.7,-0.1
Marcin Gortat,WAS,2014,11,382,16.3,0.7,0.3
Danny Granger,LAC,2014,13,134,3.6,-6.7,-0.2
Danny Green,SAS,2014,23,529,16.5,6.2,1.1
Draymond Green,GSW,2014,7,228,16.2,5.0,0.4
Willie Green,LAC,2014,5,19,12.8,2.5,0.0
Blake Griffin,LAC,2014,13,478,21.7,4.4,0.8
Jorge GutiÃ©rrez,BRK,2014,2,3,33.7,8.0,0.0
Tyler Hansbrough,TOR,2014,3,29,5.2,-7.1,0.0
James Harden,HOU,2014,6,263,18.3,4.2,0.4
Al Harrington,WAS,2014,7,59,5.2,-7.2,-0.1
Devin Harris,DAL,2014,7,176,15.7,2.4,0.2
Udonis Haslem,MIA,2014,16,169,9.8,-3.8,-0.1
Chuck Hayes,TOR,2014,5,38,9.1,-1.9,0.0
Gerald Henderson,CHA,2014,4,119,8.0,-4.5,-0.1
Roy Hibbert,IND,2014,19,542,12.1,-2.2,0.0
NenÃª,WAS,2014,10,325,12.2,0.1,0.2
George Hill,IND,2014,19,687,12.8,1.0,0.5
Solomon Hill,IND,2014,1,1,0.0,-3.0,0.0
Kirk Hinrich,CHI,2014,5,167,8.2,-2.2,0.0
Ryan Hollins,LAC,2014,5,9,-3.2,-20.3,0.0
Dwight Howard*,HOU,2014,6,231,27.2,5.7,0.4
Serge Ibaka,OKC,2014,17,581,16.6,2.8,0.7
Andre Iguodala,GSW,2014,7,248,12.6,1.5,0.2
Reggie Jackson,OKC,2014,19,531,11.8,-1.0,0.1
Bernard James,DAL,2014,2,8,12.1,2.6,0.0
LeBron James,MIA,2014,20,763,31.0,10.3,2.4
Al Jefferson,CHA,2014,3,106,19.2,2.3,0.1
Amir Johnson,TOR,2014,7,191,16.4,1.3,0.2
James Johnson,MEM,2014,3,28,21.4,7.5,0.1
Joe Johnson,BRK,2014,12,469,20.3,3.8,0.7
James Jones,MIA,2014,15,126,16.2,3.9,0.2
Perry Jones,OKC,2014,11,55,7.0,-4.5,0.0
Terrence Jones,HOU,2014,6,138,17.9,3.2,0.2
DeAndre Jordan,LAC,2014,13,442,16.5,2.4,0.5
Cory Joseph,SAS,2014,17,87,18.3,2.3,0.1
Michael Kidd-Gilchrist,CHA,2014,4,91,12.0,-2.5,0.0
Andrei Kirilenko,BRK,2014,10,144,14.4,4.3,0.2
Kyle Korver,ATL,2014,7,250,12.1,1.4,0.2
Kosta Koufos,MEM,2014,7,45,19.1,1.8,0.0
Ognjen KuzmiÄ,GSW,2014,3,8,5.7,-3.7,0.0
Jeremy Lamb,OKC,2014,11,100,14.4,1.2,0.1
Shane Larkin,DAL,2014,2,10,-9.7,-19.0,0.0
Courtney Lee,MEM,2014,7,224,8.8,-1.6,0.0
David Lee,GSW,2014,7,217,15.6,0.2,0.1
Kawhi Leonard,SAS,2014,23,736,18.7,4.7,1.3
Meyers Leonard,POR,2014,4,9,-7.8,-10.8,0.0
Jon Leuer,MEM,2014,3,23,22.1,6.9,0.1
Rashard Lewis,MIA,2014,18,319,9.9,-0.8,0.1
Damian Lillard,POR,2014,11,466,19.3,4.9,0.8
Jeremy Lin,HOU,2014,6,177,12.4,-0.8,0.1
Shaun Livingston,BRK,2014,12,325,13.1,-1.0,0.1
Robin Lopez,POR,2014,11,367,15.3,0.6,0.2
Kyle Lowry,TOR,2014,7,271,17.4,2.1,0.3
Shelvin Mack,ATL,2014,7,118,19.1,6.2,0.2
Ian Mahinmi,IND,2014,19,241,8.6,-1.9,0.0
Shawn Marion,DAL,2014,7,193,12.5,0.9,0.1
Cartier Martin,ATL,2014,3,15,15.0,4.1,0.0
Wesley Matthews,POR,2014,11,426,9.7,-1.5,0.1
CJ McCollum,POR,2014,6,24,-12.3,-17.9,-0.1
Josh McRoberts,CHA,2014,4,154,12.8,1.6,0.1
Andre Miller,WAS,2014,11,108,9.5,-4.5,-0.1
Mike Miller,MEM,2014,7,173,10.1,1.4,0.1
Patty Mills,SAS,2014,23,351,16.2,3.5,0.5
Paul Millsap,ATL,2014,7,267,19.9,5.0,0.5
Nazr Mohammed,CHI,2014,2,5,-8.2,-21.4,0.0
Mike Muscala,ATL,2014,2,5,-16.9,-21.3,0.0
Gary Neal,CHA,2014,4,104,3.1,-10.7,-0.2
Nemanja NedoviÄ,GSW,2014,1,0,,-1000.0,0.0
Joakim Noah,CHI,2014,5,210,13.1,1.1,0.2
Steve Novak,TOR,2014,4,15,-1.4,-8.0,0.0
Dirk Nowitzki*,DAL,2014,7,263,13.9,-1.3,0.0
Jermaine O'Neal,GSW,2014,7,84,18.4,0.4,0.1
Greg Oden,MIA,2014,3,7,10.6,8.4,0.0
Jannero Pargo,CHA,2014,1,3,-2.3,-16.4,0.0
Tony Parker*,SAS,2014,23,719,15.8,-1.4,0.1
Chandler Parsons,HOU,2014,6,250,14.8,1.4,0.2
Patrick Patterson,TOR,2014,7,199,17.4,4.8,0.3
Chris Paul,LAC,2014,13,472,23.6,8.8,1.3
Kendrick Perkins,OKC,2014,19,384,6.6,-3.2,-0.1
Paul Pierce*,BRK,2014,12,368,15.1,1.4,0.3
Mason Plumlee,BRK,2014,10,114,4.5,-8.6,-0.2
Otto Porter Jr.,WAS,2014,3,6,0.6,-6.3,0.0
Tayshaun Prince,MEM,2014,7,113,5.2,-3.9,-0.1
Zach Randolph,MEM,2014,6,234,13.6,0.0,0.1
JJ Redick,LAC,2014,13,351,14.4,1.8,0.3
Luke Ridnour,CHA,2014,4,36,9.9,0.1,0.0
Andre Roberson,OKC,2014,2,9,-10.7,-15.1,0.0
Thomas Robinson,POR,2014,11,122,10.9,-0.5,0.0
Terrence Ross,TOR,2014,7,158,0.9,-7.7,-0.2
John Salmons,TOR,2014,6,77,3.3,-4.6,0.0
Dennis SchrÃ¶der,ATL,2014,2,7,34.3,18.1,0.0
Luis Scola,IND,2014,18,243,13.1,-2.7,0.0
Mike Scott,ATL,2014,7,146,10.0,-1.4,0.0
Thabo Sefolosha,OKC,2014,15,236,9.0,-0.1,0.1
Kevin SÃ©raphin,WAS,2014,4,6,-24.8,-32.4,0.0
Donald Sloan,IND,2014,4,15,9.3,-2.5,0.0
Tony Snell,CHI,2014,5,46,-0.3,-7.1,-0.1
Marreese Speights,GSW,2014,7,68,23.3,2.6,0.1
Tiago Splitter,SAS,2014,23,516,19.1,5.1,0.9
Lance Stephenson,IND,2014,19,705,13.5,0.9,0.5
Jeff Teague,ATL,2014,7,242,17.1,2.6,0.3
Mirza TeletoviÄ,BRK,2014,12,220,16.8,2.1,0.2
Garrett Temple,WAS,2014,10,9,9.7,-0.9,0.0
Hasheem Thabeet,OKC,2014,2,7,-9.8,-11.9,0.0
Klay Thompson,GSW,2014,7,257,12.0,1.1,0.2
Marcus Thornton,BRK,2014,10,124,14.2,-2.0,0.0
Anthony Tolliver,CHA,2014,4,21,15.6,3.7,0.0
Hedo TÃ¼rkoÄlu,LAC,2014,5,41,15.1,4.4,0.1
Evan Turner,IND,2014,12,149,9.8,-0.8,0.0
Beno Udrih,MEM,2014,7,115,13.2,0.0,0.0
Jonas ValanÄiÅ«nas,TOR,2014,7,200,14.8,-1.5,0.0
Greivis VÃ¡squez,TOR,2014,7,190,14.5,2.2,0.2
Dwyane Wade*,MIA,2014,20,693,18.5,0.9,0.5
Kemba Walker,CHA,2014,4,153,19.6,6.4,0.3
John Wall,WAS,2014,11,420,14.1,1.0,0.3
C.J. Watson,IND,2014,19,342,10.2,-1.6,0.0
Earl Watson,POR,2014,4,14,-4.5,-10.2,0.0
Martell Webster,WAS,2014,11,195,7.2,-1.8,0.0
David West,IND,2014,19,687,15.5,1.6,0.6
Russell Westbrook,OKC,2014,19,735,24.9,7.6,1.8
D.J. White,CHA,2014,1,3,-9.4,-18.6,0.0
Deron Williams,BRK,2014,12,428,14.6,-0.4,0.2
Lou Williams,ATL,2014,7,133,10.3,-2.3,0.0
Mo Williams,POR,2014,8,187,4.6,-7.9,-0.3
Brandan Wright,DAL,2014,6,90,22.1,8.7,0.2
Dorell Wright,POR,2014,8,88,14.2,3.3,0.1
Cody Zeller,CHA,2014,4,53,6.9,-4.0,0.0
Jordan Adams,MEM,2015,4,10,31.4,18.8,0.1
Arron Afflalo,POR,2015,3,60,-5.0,-11.8,-0.1
Alexis AjinÃ§a,NOP,2015,3,10,42.0,18.8,0.1
LaMarcus Aldridge,POR,2015,5,208,16.7,0.4,0.1
Tony Allen,MEM,2015,10,279,14.2,3.9,0.4
Al-Farouq Aminu,DAL,2015,5,150,20.4,7.5,0.4
Alan Anderson,BRK,2015,6,142,17.7,4.6,0.2
Ryan Anderson,NOP,2015,4,95,16.2,1.4,0.1
Giannis Antetokounmpo,MIL,2015,6,201,10.9,-2.3,0.0
Pero AntiÄ,ATL,2015,15,199,8.5,-4.2,-0.1
Trevor Ariza,HOU,2015,17,655,12.9,1.7,0.6
Ãmer AÅÄ±k,NOP,2015,4,79,9.4,-2.6,0.0
Jeff Ayres,SAS,2015,3,12,5.7,2.0,0.0
Leandro Barbosa,GSW,2015,21,229,13.3,-0.9,0.1
J.J. Barea,DAL,2015,5,154,13.7,-0.2,0.1
Harrison Barnes,GSW,2015,21,681,12.2,0.7,0.5
Matt Barnes,LAC,2015,14,409,9.7,-0.4,0.2
Brandon Bass,BOS,2015,4,86,9.0,0.4,0.1
Nicolas Batum,POR,2015,5,209,11.1,-0.2,0.1
Jerryd Bayless,MIL,2015,6,120,12.2,-1.2,0.0
Aron Baynes,SAS,2015,4,40,1.3,-9.7,-0.1
Kent Bazemore,ATL,2015,16,303,10.5,-1.2,0.1
Bradley Beal,WAS,2015,10,418,17.9,3.0,0.5
Marco Belinelli,SAS,2015,7,116,20.7,8.1,0.3
Steve Blake,POR,2015,5,43,2.9,-6.4,0.0
Bojan BogdanoviÄ,BRK,2015,6,206,8.3,-2.0,0.0
Andrew Bogut,GSW,2015,19,440,14.0,1.8,0.4
Matt Bonner,SAS,2015,7,36,-2.2,-10.0,-0.1
Avery Bradley,BOS,2015,4,133,8.2,-2.6,0.0
Elton Brand,ATL,2015,3,4,-12.7,-24.8,0.0
Corey Brewer,HOU,2015,17,428,10.9,-2.2,0.0
Aaron Brooks,CHI,2015,12,132,6.8,-6.6,-0.1
Markel Brown,BRK,2015,2,10,15.4,-2.5,0.0
Jimmy Butler,CHI,2015,12,506,20.8,5.8,1.0
Rasual Butler,WAS,2015,2,7,-3.6,-11.2,0.0
Will Bynum,WAS,2015,3,31,16.5,-1.7,0.0
Nick Calathes,MEM,2015,9,126,7.8,-3.1,0.0
Clint Capela,HOU,2015,17,127,21.8,4.9,0.2
DeMarre Carroll,ATL,2015,16,558,16.8,2.7,0.7
Vince Carter*,MEM,2015,11,196,13.7,1.5,0.2
Michael Carter-Williams,MIL,2015,6,191,11.5,-1.7,0.0
Tyson Chandler,DAL,2015,5,160,17.3,0.4,0.1
Earl Clark,BRK,2015,2,13,1.2,-6.7,0.0
Norris Cole,NOP,2015,4,106,3.8,-9.2,-0.2
Mike Conley,MEM,2015,8,243,17.5,3.8,0.4
Allen Crabbe,POR,2015,2,39,15.0,6.5,0.1
Jamal Crawford,LAC,2015,14,379,10.0,-3.6,-0.2
Jae Crowder,BOS,2015,4,100,19.2,5.9,0.2
Dante Cunningham,NOP,2015,4,75,19.8,7.7,0.2
Stephen Curry,GSW,2015,21,826,24.5,8.8,2.2
Gigi Datome,BOS,2015,3,14,-0.4,-9.2,0.0
Anthony Davis,NOP,2015,4,172,28.5,7.4,0.4
Glen Davis,LAC,2015,14,144,7.1,-5.0,-0.1
Matthew Dellavedova,CLE,2015,20,497,6.8,-3.8,-0.2
DeMar DeRozan,TOR,2015,4,159,15.7,0.8,0.1
Boris Diaw,SAS,2015,7,198,16.5,3.1,0.3
Joey Dorsey,HOU,2015,6,13,0.6,-5.9,0.0
Jared Dudley,MIL,2015,6,110,17.2,6.2,0.2
Tim Duncan*,SAS,2015,7,250,24.2,7.5,0.6
Mike Dunleavy,CHI,2015,12,389,14.4,3.2,0.5
Monta Ellis,DAL,2015,5,197,19.5,3.7,0.3
Tyler Ennis,MIL,2015,1,16,10.3,-0.8,0.0
Tyreke Evans,NOP,2015,4,125,10.8,-2.7,0.0
Festus Ezeli,GSW,2015,20,183,16.1,-0.7,0.1
Raymond Felton,DAL,2015,3,36,7.6,-6.3,0.0
Tim Frazier,POR,2015,2,3,-32.1,-30.5,0.0
Joel Freeland,POR,2015,2,7,9.7,2.5,0.0
Marc Gasol,MEM,2015,11,416,21.3,6.0,0.8
Pau Gasol*,CHI,2015,10,317,20.1,3.7,0.4
Alonzo Gee,POR,2015,1,3,16.3,8.6,0.0
Taj Gibson,CHI,2015,12,276,14.3,-0.8,0.1
Manu GinÃ³bili*,SAS,2015,7,131,17.1,4.8,0.2
Drew Gooden,WAS,2015,10,178,12.5,-0.8,0.1
Eric Gordon,NOP,2015,4,143,14.6,1.3,0.1
Marcin Gortat,WAS,2015,10,307,19.4,2.6,0.4
Danny Green,SAS,2015,7,204,10.5,2.0,0.2
Draymond Green,GSW,2015,21,784,16.6,4.5,1.3
JaMychal Green,MEM,2015,5,8,16.8,4.0,0.0
Jeff Green,MEM,2015,11,298,7.9,-4.0,-0.1
Blake Griffin,LAC,2015,14,557,24.8,6.6,1.2
Jorge GutiÃ©rrez,MIL,2015,1,12,6.5,-6.5,0.0
Tyler Hansbrough,TOR,2015,4,48,3.5,-4.5,0.0
James Harden,HOU,2015,17,636,24.8,7.6,1.5
Devin Harris,DAL,2015,4,74,5.8,-7.7,-0.1
Joe Harris,CLE,2015,6,16,10.9,-4.8,0.0
Spencer Hawes,LAC,2015,8,57,18.8,6.7,0.1
Brendan Haywood,CLE,2015,1,2,-21.0,-26.7,0.0
John Henson,MIL,2015,6,153,17.4,-0.3,0.1
NenÃª,WAS,2015,10,257,11.1,-2.8,-0.1
Kirk Hinrich,CHI,2015,10,126,9.2,-0.9,0.0
Jrue Holiday,NOP,2015,3,55,13.6,-0.9,0.0
Justin Holiday,GSW,2015,5,11,1.9,-5.2,0.0
Al Horford,ATL,2015,16,522,19.8,3.7,0.8
Dwight Howard*,HOU,2015,17,574,20.4,2.4,0.6
Lester Hudson,LAC,2015,7,38,10.5,0.2,0.0
Kris Humphries,WAS,2015,1,5,21.6,2.8,0.0
Andre Iguodala,GSW,2015,21,635,15.4,4.5,1.0
Ersan Ä°lyasova,MIL,2015,6,142,8.0,-4.3,-0.1
Kyrie Irving,CLE,2015,13,464,20.9,5.2,0.8
Jarrett Jack,BRK,2015,6,153,17.6,1.7,0.1
Bernard James,DAL,2015,1,2,0.0,-6.0,0.0
LeBron James,CLE,2015,20,844,25.3,7.9,2.1
Richard Jefferson,DAL,2015,4,51,3.5,-6.4,-0.1
John Jenkins,ATL,2015,4,21,19.0,3.3,0.0
Jonas Jerebko,BOS,2015,4,68,3.3,-6.6,-0.1
Amir Johnson,TOR,2015,4,112,16.0,0.0,0.0
James Johnson,TOR,2015,2,12,-3.9,-15.3,0.0
Joe Johnson,BRK,2015,6,249,14.2,1.1,0.2
Nick Johnson,HOU,2015,9,49,-1.1,-9.6,-0.1
Dahntay Jones,LAC,2015,11,18,9.6,1.3,0.0
James Jones,CLE,2015,20,311,7.9,-1.1,0.1
Terrence Jones,HOU,2015,17,401,12.9,-2.4,0.0
DeAndre Jordan,LAC,2015,14,482,20.7,4.4,0.8
Jerome Jordan,BRK,2015,1,5,-16.3,-27.4,0.0
Cory Joseph,SAS,2015,4,22,17.3,1.8,0.0
Chris Kaman,POR,2015,3,37,11.7,-1.7,0.0
Kyle Korver,ATL,2015,14,526,11.3,0.8,0.4
Kosta Koufos,MEM,2015,11,127,19.0,2.9,0.2
Courtney Lee,MEM,2015,11,367,15.5,2.6,0.4
David Lee,GSW,2015,13,107,14.1,-0.9,0.0
Kawhi Leonard,SAS,2015,7,250,19.9,4.4,0.4
Meyers Leonard,POR,2015,5,106,19.6,8.4,0.3
Jon Leuer,MEM,2015,4,9,22.4,2.5,0.0
Damian Lillard,POR,2015,5,201,15.0,0.5,0.1
Shaun Livingston,GSW,2015,21,375,11.5,-0.5,0.1
Brook Lopez,BRK,2015,6,234,21.0,2.4,0.3
Robin Lopez,POR,2015,5,117,11.6,-0.6,0.0
Kevin Love,CLE,2015,4,107,20.0,4.3,0.2
Kyle Lowry,TOR,2015,4,131,8.1,-5.4,-0.1
Shelvin Mack,ATL,2015,10,99,14.7,1.5,0.1
Shawn Marion,CLE,2015,6,25,6.0,-3.5,0.0
O.J. Mayo,MIL,2015,6,156,10.3,-1.7,0.0
James Michael McAdoo,GSW,2015,5,10,19.7,3.7,0.0
CJ McCollum,POR,2015,5,166,16.1,1.9,0.2
Doug McDermott,CHI,2015,3,10,19.1,3.9,0.0
Khris Middleton,MIL,2015,6,232,12.7,0.7,0.1
Mike Miller,CLE,2015,9,65,6.6,-1.0,0.0
Patty Mills,SAS,2015,7,112,23.4,8.6,0.3
Paul Millsap,ATL,2015,16,566,16.4,1.4,0.5
Nikola MirotiÄ,CHI,2015,11,164,9.8,-2.6,0.0
Nazr Mohammed,CHI,2015,3,14,11.5,-7.7,0.0
E'Twaun Moore,CHI,2015,3,9,21.9,12.8,0.0
Darius Morris,BRK,2015,1,5,-8.2,-15.2,0.0
Timofey Mozgov,CLE,2015,20,529,17.9,0.6,0.3
Mike Muscala,ATL,2015,10,102,14.9,-1.3,0.0
Joakim Noah,CHI,2015,12,395,12.0,-1.1,0.1
Dirk Nowitzki*,DAL,2015,5,181,18.0,1.7,0.2
Johnny O'Bryant,MIL,2015,1,12,8.9,-5.8,0.0
Kelly Olynyk,BOS,2015,4,53,9.8,-1.1,0.0
Zaza Pachulia,MIL,2015,6,129,15.4,1.1,0.1
Kostas Papanikolaou,HOU,2015,8,21,-14.0,-22.7,-0.1
Tony Parker*,SAS,2015,7,210,6.5,-7.4,-0.3
Chandler Parsons,DAL,2015,1,37,2.9,-5.7,0.0
Patrick Patterson,TOR,2015,4,106,16.7,4.1,0.2
Chris Paul,LAC,2015,12,445,25.7,8.6,1.2
Kendrick Perkins,CLE,2015,8,33,3.8,-10.4,-0.1
Paul Pierce*,WAS,2015,10,298,16.3,3.8,0.4
Mason Plumlee,BRK,2015,6,49,10.5,-1.1,0.0
Miles Plumlee,MIL,2015,1,16,-0.3,-12.2,0.0
Quincy Pondexter,NOP,2015,4,124,11.7,1.2,0.1
Otto Porter Jr.,WAS,2015,10,331,14.1,2.1,0.3
Dwight Powell,DAL,2015,2,3,-2.7,-6.3,0.0
Phil Pressey,BOS,2015,2,5,-11.5,-12.9,0.0
Pablo Prigioni,HOU,2015,17,293,6.8,-2.6,0.0
Zach Randolph,MEM,2015,11,382,13.3,-2.5,-0.1
JJ Redick,LAC,2015,14,540,10.2,-1.4,0.1
Austin Rivers,LAC,2015,14,250,12.9,-0.4,0.1
Rajon Rondo,DAL,2015,2,37,11.6,-2.0,0.0
Derrick Rose,CHI,2015,12,454,16.8,1.8,0.4
Terrence Ross,TOR,2015,4,107,7.7,-1.2,0.0
Brandon Rush,GSW,2015,3,7,-4.5,-17.7,0.0
Dennis SchrÃ¶der,ATL,2015,16,290,13.4,-2.3,0.0
Mike Scott,ATL,2015,11,172,9.6,-4.6,-0.1
Kevin SÃ©raphin,WAS,2015,6,72,12.2,-2.3,0.0
Ramon Sessions,WAS,2015,10,218,9.6,-3.4,-0.1
Iman Shumpert,CLE,2015,20,695,10.6,1.0,0.5
Marcus Smart,BOS,2015,4,90,12.8,0.1,0.0
Greg Smith,DAL,2015,1,1,0.0,-4.0,0.0
J.R. Smith,CLE,2015,18,560,13.5,2.1,0.6
Josh Smith,HOU,2015,17,396,16.5,2.4,0.4
Russ Smith,MEM,2015,2,3,23.8,9.1,0.0
Tony Snell,CHI,2015,11,140,6.3,-4.1,-0.1
Marreese Speights,GSW,2015,10,67,13.2,-5.5,-0.1
Tiago Splitter,SAS,2015,7,123,7.0,-4.2,-0.1
Greg Stiemsma,TOR,2015,1,2,101.6,48.2,0.0
Amar'e Stoudemire,DAL,2015,5,75,11.3,-5.5,-0.1
Jared Sullinger,BOS,2015,4,80,21.7,4.6,0.1
Jeff Teague,ATL,2015,16,529,17.8,2.0,0.5
Mirza TeletoviÄ,BRK,2015,3,16,-10.5,-16.3,-0.1
Garrett Temple,WAS,2015,4,26,1.5,-10.3,-0.1
Jason Terry,HOU,2015,17,487,10.1,-0.4,0.2
Isaiah Thomas,BOS,2015,4,119,17.9,2.8,0.1
Klay Thompson,GSW,2015,21,761,14.8,1.9,0.7
Tristan Thompson,CLE,2015,20,727,15.4,0.2,0.4
Hedo TÃ¼rkoÄlu,LAC,2015,11,55,2.9,-5.0,0.0
Evan Turner,BOS,2015,4,118,11.2,-1.4,0.0
Ekpe Udoh,LAC,2015,4,12,-0.3,-10.9,0.0
Beno Udrih,MEM,2015,10,175,14.8,0.4,0.1
Jonas ValanÄiÅ«nas,TOR,2015,4,106,17.3,-0.5,0.0
Greivis VÃ¡squez,TOR,2015,4,101,7.9,-3.9,-0.1
Charlie Villanueva,DAL,2015,5,43,24.6,8.2,0.1
John Wall,WAS,2015,7,273,19.2,4.4,0.4
Gerald Wallace,BOS,2015,1,4,-6.9,-9.0,0.0
Martell Webster,WAS,2015,1,4,11.1,-10.3,0.0
Deron Williams,BRK,2015,6,192,12.9,-1.3,0.0
Lou Williams,TOR,2015,4,102,11.6,-1.9,0.0
Thaddeus Young,BRK,2015,6,190,10.5,-3.1,-0.1
Tyler Zeller,BOS,2015,4,90,12.5,-0.4,0.0
Steven Adams,OKC,2016,18,553,16.8,1.8,0.5
Cole Aldrich,LAC,2016,6,77,21.4,4.4,0.1
LaMarcus Aldridge,SAS,2016,10,337,25.0,3.6,0.5
Lavoy Allen,IND,2016,6,51,7.1,-2.4,0.0
Tony Allen,MEM,2016,4,94,6.7,-4.8,-0.1
Al-Farouq Aminu,POR,2016,11,372,15.5,2.7,0.4
Chris Andersen,MEM,2016,4,79,14.7,-1.3,0.0
Justin Anderson,DAL,2016,5,95,19.2,2.7,0.1
Kyle Anderson,SAS,2016,10,129,7.7,-2.4,0.0
Trevor Ariza,HOU,2016,5,181,1.8,-6.6,-0.2
Jeff Ayres,LAC,2016,2,2,68.8,29.3,0.0
Leandro Barbosa,GSW,2016,23,254,18.4,3.3,0.3
J.J. Barea,DAL,2016,4,100,2.0,-11.8,-0.3
Harrison Barnes,GSW,2016,24,743,8.6,-2.4,-0.1
Matt Barnes,MEM,2016,4,139,7.0,-4.4,-0.1
Nicolas Batum,CHO,2016,5,144,12.1,-2.4,0.0
Aron Baynes,DET,2016,4,44,5.9,-7.4,-0.1
Kent Bazemore,ATL,2016,10,325,11.9,-0.3,0.1
Michael Beasley,HOU,2016,5,80,15.9,-0.4,0.0
Patrick Beverley,HOU,2016,5,129,5.0,-5.2,-0.1
Bismack Biyombo,TOR,2016,20,506,15.9,1.5,0.4
Steve Blake,DET,2016,4,43,0.3,-11.5,-0.1
Andrew Bogut,GSW,2016,22,365,18.2,2.6,0.4
Avery Bradley,BOS,2016,1,33,16.1,2.5,0.0
Corey Brewer,HOU,2016,5,77,1.3,-8.5,-0.1
Reggie Bullock,DET,2016,2,22,31.6,16.6,0.1
Kentavious Caldwell-Pope,DET,2016,4,161,16.2,3.5,0.2
Clint Capela,HOU,2016,5,43,13.4,-0.7,0.0
DeMarre Carroll,TOR,2016,20,596,9.9,-0.6,0.2
Vince Carter*,MEM,2016,4,91,19.4,5.7,0.2
Ian Clark,GSW,2016,16,154,13.9,0.0,0.1
Nick Collison,OKC,2016,9,79,9.8,1.3,0.1
Pat Connaughton,POR,2016,6,8,35.9,19.8,0.0
Allen Crabbe,POR,2016,11,302,12.8,0.4,0.2
Jamal Crawford,LAC,2016,6,199,13.3,-1.3,0.0
Jae Crowder,BOS,2016,6,197,6.7,-2.6,0.0
Stephen Curry,GSW,2016,18,614,22.3,7.0,1.4
Troy Daniels,CHO,2016,4,18,-11.7,-20.2,-0.1
Ed Davis,POR,2016,11,205,14.9,-0.7,0.1
Matthew Dellavedova,CLE,2016,20,241,10.8,-3.3,-0.1
Luol Deng,MIA,2016,14,495,15.5,3.2,0.6
DeMar DeRozan,TOR,2016,20,746,14.2,-1.3,0.1
Boris Diaw,SAS,2016,9,159,12.0,0.1,0.1
Spencer Dinwiddie,DET,2016,1,2,65.2,45.5,0.0
Goran DragiÄ,MIA,2016,14,472,15.1,-0.7,0.1
Andre Drummond,DET,2016,4,131,17.6,-3.5,-0.1
Tim Duncan*,SAS,2016,10,218,11.6,-0.6,0.1
Kevin Durant,OKC,2016,18,726,20.3,4.0,1.1
Monta Ellis,IND,2016,7,225,13.7,0.9,0.2
Festus Ezeli,GSW,2016,23,203,13.9,-3.9,-0.1
Jordan Farmar,MEM,2016,4,113,5.6,-4.6,-0.1
Raymond Felton,DAL,2016,5,172,13.6,-0.8,0.1
Randy Foye,OKC,2016,16,190,4.3,-3.8,-0.1
Enes Freedom,OKC,2016,18,323,22.4,1.9,0.3
Channing Frye,CLE,2016,17,237,20.5,6.3,0.5
Paul George,IND,2016,7,275,27.5,10.1,0.8
Manu GinÃ³bili*,SAS,2016,10,192,16.0,2.5,0.2
Andrew Goudelock,HOU,2016,2,11,0.2,-12.0,0.0
Danny Green,SAS,2016,10,267,15.3,6.8,0.6
Draymond Green,GSW,2016,23,879,18.6,5.7,1.7
Gerald Green,MIA,2016,12,110,6.7,-5.3,-0.1
JaMychal Green,MEM,2016,4,72,16.4,1.3,0.1
Jeff Green,LAC,2016,6,159,13.2,0.0,0.1
Blake Griffin,LAC,2016,4,127,16.5,1.8,0.1
Jorge GutiÃ©rrez,CHO,2016,3,12,-7.0,-18.6,0.0
P.J. Hairston,MEM,2016,2,22,0.3,-7.8,0.0
Tyler Hansbrough,CHO,2016,2,6,0.0,-6.5,0.0
Tim Hardaway Jr.,ATL,2016,9,87,3.1,-7.5,-0.1
James Harden,HOU,2016,5,193,21.8,8.8,0.5
Maurice Harkless,POR,2016,11,272,12.8,-1.4,0.0
Montrezl Harrell,HOU,2016,2,12,-1.0,-13.0,0.0
Devin Harris,DAL,2016,5,121,10.4,-2.2,0.0
Tobias Harris,DET,2016,4,156,16.5,1.4,0.1
Aaron Harrison,CHO,2016,2,7,-0.6,-8.5,0.0
Udonis Haslem,MIA,2016,9,85,11.4,-1.9,0.0
Spencer Hawes,CHO,2016,5,53,14.9,1.2,0.0
Gerald Henderson,POR,2016,11,234,9.3,-2.6,0.0
George Hill,IND,2016,7,235,17.0,4.2,0.4
Jordan Hill,IND,2016,5,15,4.5,-4.1,0.0
Solomon Hill,IND,2016,7,198,11.5,1.5,0.2
